City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
0,Atuona,43,PF,1651163430,78,-9.8,-139.0333,78.44,21.63
1,Joshīmath,84,IN,1651163431,69,30.5667,79.5667,60.73,7.27
2,Lavrentiya,99,RU,1651163431,92,65.5833,-171.0,26.17,9.08
3,Busselton,82,AU,1651163431,77,-33.65,115.3333,56.89,5.53
4,Erenhot,100,CN,1651163432,21,43.6475,111.9767,52.3,6.89
5,Tasiilaq,99,GL,1651163432,82,65.6145,-37.6368,39.36,6.51
6,Hilo,20,US,1651163432,89,19.7297,-155.09,78.28,5.75
7,Butaritari,93,KI,1651163433,82,3.0707,172.7902,80.65,16.91
8,Ushuaia,40,AR,1651163433,75,-54.8,-68.3,44.22,36.82
9,Punta Arenas,0,CL,1651163433,70,-53.15,-70.9167,44.71,27.63
10,San Patricio,11,US,1651163434,53,28.017,-97.5169,84.29,17.34
11,Hobart,93,AU,1651163409,93,-42.8794,147.3294,59.27,10.36
12,Praxédis Guerrero,0,MX,1651163434,11,31.3667,-106.0167,74.66,12.06
13,Airai,68,TL,1651163434,92,-8.9266,125.4092,58.59,1.72
14,Gairo,99,IT,1651163435,48,39.8497,9.5047,59.16,4.45
15,Rikitea,20,PF,1651163435,75,-23.1203,-134.9692,76.51,22.57
16,Albany,38,US,1651163436,29,42.6001,-73.9662,48.69,1.99
17,Paamiut,100,GL,1651163436,96,61.994,-49.6678,36.48,21.92
18,Port Alfred,0,ZA,1651163436,74,-33.5906,26.891,65.17,7.96
19,Kudahuvadhoo,100,MV,1651163437,70,2.6708,72.8944,85.51,8.93
20,Marawi,100,PH,1651163437,92,7.9986,124.2928,69.51,2.3
21,Korem,22,ET,1651163437,56,12.5058,39.5228,62.11,3.69
22,Qaanaaq,100,GL,1651163277,74,77.484,-69.3632,28.65,6.15
23,Comodoro Rivadavia,75,AR,1651163438,53,-45.8667,-67.5,44.46,6.91
24,Cochrane,0,CA,1651163438,29,51.1834,-114.4687,47.53,5.75
25,Hermanus,2,ZA,1651163439,76,-34.4187,19.2345,64.8,11.99
26,Itarema,94,BR,1651163439,78,-2.9248,-39.9167,83.28,11.92
27,Bredasdorp,19,ZA,1651163440,91,-34.5322,20.0403,58.62,4.41
28,São Miguel do Araguaia,4,BR,1651163440,37,-13.275,-50.1628,89.06,3.91
29,Kudat,20,MY,1651163440,94,6.8837,116.8477,78.73,3.44
30,Xichang,79,CN,1651163441,89,27.8964,102.2634,59.27,4.12
31,Hasaki,21,JP,1651163441,67,35.7333,140.8333,54.0,11.25
32,Marzuq,27,YE,1651163441,55,14.4,46.4667,73.96,4.29
33,Konëvo,100,RU,1651163442,83,62.1215,39.3192,29.77,3.62
34,Khatanga,98,RU,1651163442,94,71.9667,102.5,12.92,9.08
35,Tupelo,0,US,1651163443,37,34.2576,-88.7034,73.22,5.75
36,Cedar City,0,US,1651163250,21,37.6775,-113.0619,59.97,32.21
37,Udachny,95,RU,1651163443,89,66.4167,112.4,22.84,7.49
38,Cape Town,0,ZA,1651163405,82,-33.9258,18.4232,67.12,11.99
39,Teya,100,RU,1651163444,95,60.3778,92.6267,44.92,9.53
40,Provideniya,57,RU,1651163306,87,64.3833,-173.3,24.17,12.77
41,Esperance,66,AU,1651163444,71,-33.8667,121.9,53.44,13.51
42,Moose Factory,0,CA,1651163445,26,51.2585,-80.6094,46.4,8.05
43,Vaini,20,TO,1651163445,73,-21.2,-175.2,75.36,9.22
44,Maroantsetra,89,MG,1651163445,85,-15.4333,49.7333,75.34,11.36
45,Esim,100,GH,1651163446,77,4.8699,-2.2405,79.2,6.93
46,New Norfolk,83,AU,1651163446,85,-42.7826,147.0587,58.91,3.22
47,Abu Samrah,90,SY,1651163447,36,35.3029,37.1841,75.22,15.41
48,Bengkulu,93,ID,1651163447,89,-3.8004,102.2655,77.47,5.19
49,East London,0,ZA,1651163448,72,-33.0153,27.9116,67.14,6.91
50,Galveston,20,US,1651163448,75,29.3669,-94.9669,81.09,10.36
51,Arraial do Cabo,0,BR,1651163449,55,-22.9661,-42.0278,87.76,17.27
52,Vila Franca do Campo,100,PT,1651163297,91,37.7167,-25.4333,67.19,26.33
53,Olinda,40,BR,1651163449,70,-8.0089,-34.8553,85.73,16.11
54,Tanete,98,ID,1651163450,94,-3.9443,119.7848,76.12,2.06
55,Russell,0,US,1651163450,38,32.3502,-85.1999,78.08,8.05
56,Mar del Plata,40,AR,1651163218,68,-38.0023,-57.5575,53.87,15.01
57,Barrow,100,US,1651163224,85,71.2906,-156.7887,5.02,20.71
58,Hong Kong,7,HK,1651163450,84,22.2855,114.1577,83.17,11.01
59,Alofi,83,NU,1651163451,88,-19.0595,-169.9187,76.89,9.22
60,Mahébourg,40,MU,1651163451,88,-20.4081,57.7,75.49,3.44
